date;TempEau;TempAir;TempPAC;TempInt;PHVal;RedoxVal;CLVal;PompePH;PompeCL;PompeALG;PP;PAC;Auto
13-10-23 11:00:00;22.18;22.06;0.00;0.00;-140.8;277;-1.0;0;0;0;312;1;1
13-10-23 12:00:00;23.25;23.12;0.00;0.00;0.0;0;0.0;0;0;0;600;0;1
13-10-23 13:00:00;24.06;23.93;0.00;0.00;9.4;-65;-1.0;0;0;0;540;0;1
13-10-23 14:00:00;24.68;24.50;0.00;0.00;244.8;172;-1.0;0;0;0;480;0;1
13-10-23 16:00:00;25.62;25.50;0.00;0.00;213.5;130;-1.0;0;0;0;361;1;1
13-10-23 17:00:00;25.68;25.56;0.00;0.00;9.4;-71;-1.0;0;220;0;301;1;1
13-10-23 18:00:00;25.50;25.37;0.00;0.00;-27.6;311;-1.0;223;245;0;241;1;1
13-10-23 19:00:00;25.25;25.06;0.00;0.00;164.5;358;-1.0;88;0;0;181;1;1
13-10-23 20:00:00;25.06;24.93;0.00;0.00;-26.8;419;-1.0;0;0;0;120;1;1
13-10-23 21:00:00;24.87;24.68;0.00;0.00;282.0;243;-1.0;0;15;0;61;1;1
13-10-23 22:00:00;24.62;24.50;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 23:00:00;24.50;24.31;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
