date;TempEau;TempAir;TempPAC;TempInt;PHVal;RedoxVal;CLVal;PompePH;PompeCL;PompeALG;PP;PAC;Auto
13-10-23 11:36:19;21.75;21.56;0.00;0.00;0.0;0;0.0;0;0;0;0;0;1
13-10-23 11:36:19;21.75;21.56;0.00;0.00;0.0;0;0.0;0;0;0;0;0;1
13-10-23 11:36:19;21.75;21.56;0.00;0.00;0.0;0;0.0;0;0;0;0;0;1
13-10-23 11:36:19;21.75;21.56;0.00;0.00;0.0;0;0.0;0;0;0;0;0;1
13-10-23 11:36:19;21.75;21.56;0.00;0.00;0.0;0;0.0;0;0;0;0;0;1
13-10-23 11:36:19;21.75;21.56;0.00;0.00;0.0;0;0.0;0;0;0;0;0;1
13-10-23 11:36:19;21.75;21.56;0.00;0.00;0.0;0;0.0;0;0;0;0;0;1
13-10-23 11:36:20;21.75;21.56;0.00;0.00;0.0;0;0.0;0;0;0;0;0;1
13-10-23 11:36:20;21.75;21.56;0.00;0.00;0.0;0;0.0;0;0;0;0;0;1
13-10-23 11:36:21;21.75;21.56;0.00;0.00;0.0;0;0.0;0;0;0;0;0;1
13-10-23 11:36:22;21.75;21.56;0.00;0.00;0.0;0;0.0;0;0;0;217;0;1
13-10-23 11:36:57;21.75;21.56;0.00;0.00;0.0;0;0.0;0;0;0;217;0;1
13-10-23 11:37:57;21.75;21.56;0.00;0.00;0.0;0;-1.0;0;0;0;217;0;1
13-10-23 11:37:57;21.75;21.56;0.00;0.00;244.8;291;-1.0;0;0;0;217;0;1
13-10-23 11:37:58;21.75;21.56;0.00;0.00;244.8;291;-1.0;0;0;0;216;0;1
13-10-23 11:38:57;21.75;21.56;0.00;0.00;244.8;291;-1.0;0;0;0;215;0;1
13-10-23 11:39:57;21.75;21.56;0.00;0.00;244.8;291;-1.0;0;0;0;214;0;1
13-10-23 11:40:02;21.75;21.56;0.00;0.00;244.8;291;-1.0;0;0;0;214;0;1
13-10-23 11:40:02;21.75;21.56;0.00;0.00;128.2;521;-1.0;0;0;0;214;0;1
