date;TempEau;TempAir;TempPAC;TempInt;PHVal;RedoxVal;CLVal;PompePH;PompeCL;PompeALG;PP;PAC;Auto
02-10-23 13:00:00;2556;2537;0;0;-12899;497;-100;0;0;0;541;1;1
02-10-23 14:00:00;2556;2543;0;0;-2679;166;-100;0;0;0;481;1;1
02-10-23 15:00:00;2662;2637;0;0;-21785;543;-100;0;0;0;420;0;1
02-10-23 16:00:00;2693;2675;0;0;-24120;366;-100;0;0;0;360;0;1
02-10-23 17:00:00;2593;2575;0;0;-2584;399;-100;0;335;0;301;0;1
02-10-23 18:00:00;2562;2550;0;0;-12899;77;-100;0;0;0;240;1;1
02-10-23 19:00:00;2525;2512;0;0;28294;504;-100;993;0;0;181;1;1
02-10-23 20:00:00;2593;2568;0;0;24693;502;-100;863;105;0;121;1;1
02-10-23 21:00:00;2537;2518;0;0;-18149;309;-100;733;0;0;61;1;1
02-10-23 22:00:00;2512;2500;0;0;-18149;367;-100;603;455;0;1;1;1
