date;TempEau;TempAir;TempPAC;TempInt;PHVal;RedoxVal;CLVal;PompePH;PompeCL;PompeALG;PP;PAC;Auto
14-10-23 00:00:00;24.37;24.18;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 01:00:00;24.12;24.00;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 02:00:00;23.81;23.75;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 03:00:00;23.56;23.50;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 04:00:00;23.37;23.18;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 05:00:00;23.18;23.06;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 06:00:00;23.06;22.93;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 07:00:00;22.93;22.75;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 08:00:00;22.81;22.68;0.00;0.00;-181.7;487;-1.0;0;0;0;0;0;1
14-10-23 09:00:00;22.75;22.56;0.00;0.00;-27.1;473;-1.0;0;0;0;168;1;1
14-10-23 10:00:00;22.75;22.56;0.00;0.00;-27.8;302;-1.0;993;0;0;109;1;1
14-10-23 11:00:00;22.81;22.68;0.00;0.00;-181.9;127;-1.0;863;0;0;49;1;1
14-10-23 12:00:00;23.00;22.81;0.00;0.00;127.6;326;-1.0;0;0;0;0;0;1
14-10-23 13:00:00;23.18;23.00;0.00;0.00;127.6;326;-1.0;0;0;0;0;0;1
14-10-23 14:00:00;23.37;23.25;0.00;0.00;8.2;314;-1.0;0;0;0;174;1;1
14-10-23 15:00:00;23.50;23.31;0.00;0.00;-27.3;278;-1.0;0;0;0;114;1;1
14-10-23 16:00:00;23.50;23.31;0.00;0.00;164.7;269;-1.0;0;0;0;54;1;1
14-10-23 17:00:00;23.31;23.18;0.00;0.00;127.8;210;-1.0;0;0;0;0;0;1
14-10-23 18:00:00;23.06;22.87;0.00;0.00;127.8;210;-1.0;0;0;0;0;0;1
14-10-23 19:00:00;22.81;22.62;0.00;0.00;-27.1;327;-1.0;103;0;0;181;1;1
14-10-23 20:00:00;22.62;22.43;0.00;0.00;127.6;221;-1.0;0;60;0;121;1;1
14-10-23 21:00:00;22.50;22.31;0.00;0.00;-181.2;269;-1.0;0;0;0;60;1;1
14-10-23 22:00:00;22.31;22.12;0.00;0.00;-27.1;215;-1.0;0;415;0;0;0;1
