date;TempEau;TempAir;TempPAC;TempInt;PHVal;RedoxVal;CLVal;PompePH;PompeCL;PompeALG;PP;PAC;Auto
01-10-23 23:00:00;2531;2475;0;0;-18149;367;-100;0;0;0;0;0;1
01-10-23 00:00:00;2500;2462;0;0;-18149;367;-100;0;0;0;0;0;1
01-10-23 01:00:00;2431;2412;0;0;-18149;367;-100;0;0;0;0;0;1
01-10-23 02:00:00;2375;2362;0;0;-18149;367;-100;0;0;0;0;0;1
01-10-23 03:00:00;2356;2337;0;0;-18149;367;-100;0;0;0;0;0;1
01-10-23 04:00:00;2337;2318;0;0;-18149;367;-100;0;0;0;0;0;1
01-10-23 05:00:00;2312;2300;0;0;-18149;367;-100;0;0;0;0;0;1
01-10-23 06:00:00;2293;2275;0;0;-18149;367;-100;0;0;0;0;0;1
01-10-23 07:00:00;2268;2256;0;0;-18149;367;-100;0;0;0;0;0;1
01-10-23 08:00:00;2268;2250;0;0;-18149;367;-100;0;0;0;0;0;1
01-10-23 09:00:00;2256;2243;0;0;28315;336;-100;1108;0;0;167;1;1
