date;TempEau;TempAir;TempPAC;TempInt;PHVal;RedoxVal;CLVal;PompePH;PompeCL;PompeALG;PP;PAC;Auto
05-10-23 13:00:00;2368;2356;0;0;-14112;-183;-100;0;0;0;541;1;1
05-10-23 14:00:00;2431;2418;0;0;12825;329;-100;543;0;0;481;1;1
05-10-23 15:00:00;2500;2487;0;0;-18095;241;-100;413;0;0;421;1;1
05-10-23 16:00:00;2537;2531;0;0;-2707;132;-100;283;0;0;361;1;1
05-10-23 17:00:00;2562;2556;0;0;-18211;205;-100;153;220;0;301;1;1
05-10-23 18:00:00;2587;2575;0;0;-2727;115;-100;23;0;0;241;1;1
05-10-23 19:00:00;2575;2562;0;0;12756;38;-100;0;0;0;181;1;1
05-10-23 20:00:00;2518;2506;0;0;28294;323;-100;0;0;0;121;1;1
05-10-23 21:00:00;2475;2462;0;0;12804;346;-100;0;0;0;61;1;1
05-10-23 22:00:00;2450;2437;0;0;12708;425;-100;0;345;0;0;1;1
06-10-23 23:00:00;2418;2406;0;0;12708;425;-100;0;0;0;0;0;1
