date;TempEau;TempAir;TempPAC;TempInt;PHVal;RedoxVal;CLVal;PompePH;PompeCL;PompeALG;PP;PAC;Auto
05-10-23 13:15:49;2312;2300;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:15:49;2312;2300;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:15:49;2312;2300;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:15:49;2312;2300;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:15:49;2312;2300;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:15:49;2312;2300;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:15:50;2312;2300;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:15:50;2312;2300;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:15:50;2312;2300;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:15:51;2312;2300;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:15:52;2312;2300;0;0;0;0;0;0;0;0;585;0;1
05-10-23 13:15:57;2312;2300;0;0;0;0;0;0;0;0;585;0;1
05-10-23 13:16:57;2312;2300;0;0;0;0;0;0;0;0;584;0;1
05-10-23 13:17:27;2312;2300;0;0;0;0;-100;0;0;0;584;0;1
05-10-23 13:17:28;2312;2300;0;0;1176;616;-100;0;0;0;584;0;1
05-10-23 13:17:57;2312;2300;0;0;1176;616;-100;0;0;0;583;0;1
05-10-23 13:18:57;2312;2300;0;0;1176;616;-100;0;0;0;582;0;1
05-10-23 13:19:32;2312;2300;0;0;1176;616;-100;0;0;0;582;0;1
05-10-23 13:19:33;2312;2300;0;0;936;627;-100;0;0;0;582;0;1
05-10-23 13:19:57;2312;2300;0;0;936;627;-100;0;0;0;581;0;1
05-10-23 13:20:57;2312;2300;0;0;936;627;-100;0;0;0;580;0;1
05-10-23 13:21:37;2312;2300;0;0;936;627;-100;0;0;0;580;0;1
05-10-23 13:21:38;2312;2300;0;0;-12981;347;-100;0;0;0;580;0;1
05-10-23 13:21:57;2312;2300;0;0;-12981;347;-100;0;0;0;579;0;1
05-10-23 13:22:57;2312;2300;0;0;-12981;347;-100;0;0;0;578;0;1
05-10-23 13:30:26;2343;2331;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:30:26;2343;2331;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:30:26;2343;2331;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:30:27;2343;2331;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:30:27;2343;2331;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:30:27;2343;2331;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:30:27;2343;2331;0;0;0;0;0;0;0;0;0;0;1
05-10-23 13:30:28;2343;2331;0;0;0;0;0;0;0;0;570;0;1
05-10-23 13:30:28;2343;2331;0;0;0;0;0;0;0;0;570;0;1
05-10-23 13:30:28;2343;2331;0;0;0;0;0;0;0;0;570;0;1
05-10-23 13:30:28;2343;2331;0;0;0;0;0;0;0;0;570;0;1
05-10-23 13:30:32;2343;2331;0;0;0;0;0;0;0;0;570;0;1
05-10-23 13:31:32;2343;2331;0;0;0;0;0;0;0;0;569;0;1
05-10-23 13:32:07;2343;2331;0;0;0;0;-100;0;0;0;569;0;1
05-10-23 13:32:08;2343;2331;0;0;24480;-220;-100;0;0;0;569;0;1
05-10-23 13:32:32;2343;2331;0;0;24480;-220;-100;0;0;0;568;0;1
05-10-23 13:33:32;2343;2331;0;0;24480;-220;-100;0;0;0;567;0;1
05-10-23 13:34:12;2343;2331;0;0;24480;-220;-100;0;0;0;567;0;1
05-10-23 13:34:13;2343;2331;0;0;12592;-159;-100;0;0;0;567;0;1
05-10-23 13:34:32;2343;2331;0;0;12592;-159;-100;0;0;0;566;0;1
05-10-23 13:35:32;2343;2331;0;0;12592;-159;-100;0;0;0;565;0;1
05-10-23 13:36:17;2343;2331;0;0;12592;-159;-100;0;0;0;565;0;1
05-10-23 13:36:18;2343;2331;0;0;-13063;174;-100;0;0;0;565;0;1
05-10-23 13:36:32;2343;2331;0;0;-13063;174;-100;0;0;0;564;0;1
05-10-23 13:37:32;2343;2331;0;0;-13063;174;-100;0;0;0;563;0;1
05-10-23 13:38:22;2343;2331;0;0;-13063;174;-100;0;0;0;563;0;1
05-10-23 13:38:23;2343;2331;0;0;12708;92;-100;0;0;0;563;0;1
05-10-23 13:38:32;2343;2331;0;0;12708;92;-100;0;0;0;562;0;1
05-10-23 13:39:32;2343;2331;0;0;12708;92;-100;0;0;0;561;0;1
05-10-23 13:40:07;2343;2331;0;0;12708;92;-100;0;0;0;561;1;1
05-10-23 13:40:27;2343;2331;0;0;12708;92;-100;0;0;0;561;1;1
05-10-23 13:40:28;2343;2331;0;0;-2755;177;-100;0;0;0;561;1;1
05-10-23 13:40:32;2343;2331;0;0;-2755;177;-100;0;0;0;560;1;1
05-10-23 13:41:32;2343;2331;0;0;-2755;177;-100;0;0;0;559;1;1
05-10-23 13:42:32;2343;2331;0;0;-2755;177;-100;0;0;0;559;1;1
05-10-23 13:42:33;2343;2331;0;0;-13016;120;-100;0;0;0;559;1;1
05-10-23 13:42:33;2343;2331;0;0;-13016;120;-100;0;0;0;558;1;1
05-10-23 13:43:32;2343;2331;0;0;-13016;120;-100;0;0;0;557;1;1
05-10-23 13:44:32;2343;2331;0;0;-13016;120;-100;0;0;0;556;1;1
