date,TempEau,TempAir,TempPAC,TempInt,PHVal,RedoxVal,CLVal,PompePH,PompeCL,PompeALG,PP,PAC,Auto
03-10-23 13:40:05,2593,2568,0,0,0,0,0,0,0,0,0,0,1
03-10-23 13:40:05,2593,2568,0,0,0,0,0,0,0,0,0,0,1
03-10-23 13:40:05,2593,2568,0,0,0,0,0,0,0,0,0,0,1
03-10-23 13:40:05,2593,2568,0,0,0,0,0,0,0,0,560,0,1
03-10-23 13:40:06,2593,2568,0,0,0,0,0,0,0,0,560,0,1
03-10-23 13:40:06,2593,2568,0,0,0,0,0,0,0,0,560,0,1
03-10-23 13:40:06,2593,2568,0,0,0,0,0,0,0,0,560,0,1
03-10-23 13:40:06,2593,2568,0,0,0,0,0,0,0,0,560,0,1
03-10-23 13:40:10,2593,2568,0,0,0,0,0,0,0,0,560,0,1
03-10-23 13:41:10,2593,2568,0,0,0,0,0,0,0,0,559,0,1
03-10-23 13:41:55,2593,2568,0,0,0,0,-100,0,0,0,559,0,1
03-10-23 13:41:55,2593,2568,0,0,24720,457,-100,0,0,0,559,0,1
03-10-23 13:42:10,2593,2568,0,0,24720,457,-100,0,0,0,558,0,1
03-10-23 13:43:10,2593,2568,0,0,24720,457,-100,0,0,0,557,0,1
03-10-23 13:44:00,2593,2568,0,0,24720,457,-100,0,0,0,557,0,1
03-10-23 13:44:00,2593,2568,0,0,12708,594,-100,0,0,0,557,0,1
03-10-23 13:44:10,2593,2568,0,0,12708,594,-100,0,0,0,556,0,1
03-10-23 13:45:10,2593,2568,0,0,12708,594,-100,0,0,0,555,0,1
03-10-23 13:46:05,2593,2568,0,0,12708,594,-100,0,0,0,555,0,1
03-10-23 13:46:05,2593,2568,0,0,-26981,312,-100,0,0,0,555,0,1
03-10-23 13:46:10,2593,2568,0,0,-26981,312,-100,0,0,0,554,0,1
03-10-23 13:47:10,2593,2568,0,0,-26981,312,-100,0,0,0,553,0,1
03-10-23 13:48:10,2593,2568,0,0,-26981,312,-100,0,0,0,553,0,1
03-10-23 13:48:10,2593,2568,0,0,-14057,186,-100,0,0,0,553,0,1
03-10-23 13:48:11,2593,2568,0,0,-14057,186,-100,0,0,0,552,0,1
03-10-23 13:49:10,2593,2568,0,0,-14057,186,-100,0,0,0,551,0,1
03-10-23 13:49:55,2593,2568,0,0,-14057,186,-100,0,0,0,551,1,1
03-10-23 13:50:10,2593,2568,0,0,-14057,186,-100,0,0,0,550,1,1
03-10-23 13:50:15,2593,2568,0,0,-14057,186,-100,0,0,0,550,1,1
03-10-23 13:50:15,2593,2568,0,0,28315,305,-100,0,0,0,550,1,1
03-10-23 13:51:10,2593,2568,0,0,28315,305,-100,0,0,0,549,1,1
03-10-23 13:52:10,2593,2568,0,0,28315,305,-100,0,0,0,548,1,1
03-10-23 13:52:20,2593,2568,0,0,28315,305,-100,0,0,0,548,1,1
03-10-23 13:52:20,2593,2568,0,0,12825,377,-100,0,0,0,548,1,1
03-10-23 13:53:10,2593,2568,0,0,12825,377,-100,0,0,0,547,1,1
03-10-23 13:54:10,2593,2568,0,0,12825,377,-100,0,0,0,546,1,1
03-10-23 13:54:25,2593,2568,0,0,12825,377,-100,0,0,0,546,1,1
03-10-23 13:54:25,2593,2568,0,0,1804,434,-100,0,0,0,546,1,1
03-10-23 13:54:57,2556,2568,0,0,1804,434,-100,0,0,0,546,1,1
03-10-23 13:54:57,2556,2537,0,0,1804,434,-100,0,0,0,546,1,1
03-10-23 13:55:10,2556,2537,0,0,1804,434,-100,0,0,0,545,1,1
03-10-23 13:56:10,2556,2537,0,0,1804,434,-100,0,0,0,544,1,1
03-10-23 13:56:30,2556,2537,0,0,1804,434,-100,0,0,0,544,1,1
03-10-23 13:56:30,2556,2537,0,0,-6472,479,-100,0,0,0,544,1,1
03-10-23 13:57:10,2556,2537,0,0,-6472,479,-100,0,0,0,543,1,1
03-10-23 13:58:10,2556,2537,0,0,-6472,479,-100,0,0,0,542,1,1
03-10-23 13:58:35,2556,2537,0,0,-6472,479,-100,0,0,0,542,1,1
03-10-23 13:58:35,2556,2537,0,0,-12899,497,-100,0,0,0,542,1,1
03-10-23 13:59:10,2556,2537,0,0,-12899,497,-100,0,0,0,541,1,1
03-10-23 14:00:00,2556,2537,0,0,-12899,497,-100,0,0,0,541,1,1
03-10-23 14:00:10,2556,2537,0,0,-12899,497,-100,0,0,0,540,1,1
03-10-23 14:00:40,2556,2537,0,0,-12899,497,-100,0,0,0,540,1,1
03-10-23 14:00:40,2556,2537,0,0,-18074,525,-100,0,0,0,540,1,1
03-10-23 14:01:10,2556,2537,0,0,-18074,525,-100,0,0,0,539,1,1
03-10-23 14:02:10,2556,2537,0,0,-18074,525,-100,0,0,0,538,1,1
03-10-23 14:02:45,2556,2537,0,0,-18074,525,-100,0,0,0,538,1,1
03-10-23 14:02:45,2556,2537,0,0,-18095,483,-100,0,0,0,538,1,1
03-10-23 14:03:10,2556,2537,0,0,-18095,483,-100,0,0,0,537,1,1
03-10-23 14:04:10,2556,2537,0,0,-18095,483,-100,0,0,0,536,1,1
03-10-23 14:04:50,2556,2537,0,0,-18095,483,-100,0,0,0,536,1,1
03-10-23 14:04:50,2556,2537,0,0,-18115,431,-100,0,0,0,536,1,1
03-10-23 14:05:10,2556,2537,0,0,-18115,431,-100,0,0,0,535,1,1
03-10-23 14:06:10,2556,2537,0,0,-18115,431,-100,0,0,0,534,1,1
03-10-23 14:06:55,2556,2537,0,0,-18115,431,-100,0,0,0,534,1,1
03-10-23 14:06:55,2556,2537,0,0,31978,537,-100,0,0,0,534,1,1
03-10-23 14:07:10,2556,2537,0,0,31978,537,-100,0,0,0,533,1,1
03-10-23 14:08:10,2556,2537,0,0,31978,537,-100,0,0,0,532,1,1
03-10-23 14:09:00,2556,2537,0,0,31978,537,-100,0,0,0,532,1,1
03-10-23 14:09:00,2556,2537,0,0,16522,638,-100,0,0,0,532,1,1
03-10-23 14:09:10,2556,2537,0,0,16522,638,-100,0,0,0,531,1,1
03-10-23 14:09:57,2537,2537,0,0,16522,638,-100,0,0,0,531,1,1
03-10-23 14:09:57,2537,2525,0,0,16522,638,-100,0,0,0,531,1,1
03-10-23 14:10:05,2537,2525,0,0,16522,638,-100,0,0,0,531,1,1
03-10-23 14:10:10,2537,2525,0,0,16522,638,-100,0,0,0,530,1,1
03-10-23 14:11:05,2537,2525,0,0,16522,638,-100,0,200,0,530,1,1
03-10-23 14:11:05,2537,2525,0,0,16522,573,-100,0,200,0,530,1,1
03-10-23 14:11:06,2537,2525,0,0,16522,573,-100,1108,200,0,530,1,1
03-10-23 14:11:10,2537,2525,0,0,16522,573,-100,1108,195,0,530,1,1
03-10-23 14:11:10,2537,2525,0,0,16522,573,-100,1103,195,0,529,1,1
03-10-23 14:11:15,2537,2525,0,0,16522,573,-100,1103,190,0,529,1,1
03-10-23 14:11:15,2537,2525,0,0,16522,573,-100,1098,190,0,529,1,1
03-10-23 14:11:20,2537,2525,0,0,16522,573,-100,1098,185,0,529,1,1
03-10-23 14:11:20,2537,2525,0,0,16522,573,-100,1093,185,0,529,1,1
03-10-23 14:11:25,2537,2525,0,0,16522,573,-100,1093,180,0,529,1,1
03-10-23 14:11:25,2537,2525,0,0,16522,573,-100,1088,180,0,529,1,1
03-10-23 14:11:30,2537,2525,0,0,16522,573,-100,1088,175,0,529,1,1
03-10-23 14:11:30,2537,2525,0,0,16522,573,-100,1083,175,0,529,1,1
03-10-23 14:11:35,2537,2525,0,0,16522,573,-100,1083,170,0,529,1,1
03-10-23 14:11:35,2537,2525,0,0,16522,573,-100,1078,170,0,529,1,1
03-10-23 14:11:40,2537,2525,0,0,16522,573,-100,1078,165,0,529,1,1
03-10-23 14:11:40,2537,2525,0,0,16522,573,-100,1073,165,0,529,1,1
03-10-23 14:11:45,2537,2525,0,0,16522,573,-100,1073,160,0,529,1,1
03-10-23 14:11:45,2537,2525,0,0,16522,573,-100,1068,160,0,529,1,1
03-10-23 14:11:50,2537,2525,0,0,16522,573,-100,1068,155,0,529,1,1
03-10-23 14:11:50,2537,2525,0,0,16522,573,-100,1063,155,0,529,1,1
03-10-23 14:11:55,2537,2525,0,0,16522,573,-100,1063,150,0,529,1,1
03-10-23 14:11:55,2537,2525,0,0,16522,573,-100,1058,150,0,529,1,1
03-10-23 14:12:00,2537,2525,0,0,16522,573,-100,1058,145,0,529,1,1
03-10-23 14:12:00,2537,2525,0,0,16522,573,-100,1053,145,0,529,1,1
03-10-23 14:12:05,2537,2525,0,0,16522,573,-100,1053,140,0,529,1,1
03-10-23 14:12:05,2537,2525,0,0,16522,573,-100,1048,140,0,529,1,1
03-10-23 14:12:10,2537,2525,0,0,16522,573,-100,1048,135,0,529,1,1
03-10-23 14:12:10,2537,2525,0,0,16522,573,-100,1043,135,0,528,1,1
03-10-23 14:12:15,2537,2525,0,0,16522,573,-100,1043,130,0,528,1,1
03-10-23 14:12:15,2537,2525,0,0,16522,573,-100,1038,130,0,528,1,1
03-10-23 14:12:20,2537,2525,0,0,16522,573,-100,1038,125,0,528,1,1
03-10-23 14:12:20,2537,2525,0,0,16522,573,-100,1033,125,0,528,1,1
03-10-23 14:12:25,2537,2525,0,0,16522,573,-100,1033,120,0,528,1,1
03-10-23 14:12:25,2537,2525,0,0,16522,573,-100,1028,120,0,528,1,1
03-10-23 14:12:30,2537,2525,0,0,16522,573,-100,1028,115,0,528,1,1
03-10-23 14:12:30,2537,2525,0,0,16522,573,-100,1023,115,0,528,1,1
03-10-23 14:12:35,2537,2525,0,0,16522,573,-100,1023,110,0,528,1,1
03-10-23 14:12:35,2537,2525,0,0,16522,573,-100,1018,110,0,528,1,1
03-10-23 14:12:40,2537,2525,0,0,16522,573,-100,1018,105,0,528,1,1
03-10-23 14:12:40,2537,2525,0,0,16522,573,-100,1013,105,0,528,1,1
03-10-23 14:12:45,2537,2525,0,0,16522,573,-100,1013,100,0,528,1,1
03-10-23 14:12:45,2537,2525,0,0,16522,573,-100,1008,100,0,528,1,1
03-10-23 14:12:50,2537,2525,0,0,16522,573,-100,1008,95,0,528,1,1
03-10-23 14:12:50,2537,2525,0,0,16522,573,-100,1003,95,0,528,1,1
03-10-23 14:12:55,2537,2525,0,0,16522,573,-100,1003,90,0,528,1,1
03-10-23 14:12:55,2537,2525,0,0,16522,573,-100,998,90,0,528,1,1
03-10-23 14:13:00,2537,2525,0,0,16522,573,-100,998,85,0,528,1,1
03-10-23 14:13:00,2537,2525,0,0,16522,573,-100,993,85,0,528,1,1
03-10-23 14:13:05,2537,2525,0,0,16522,573,-100,993,80,0,528,1,1
03-10-23 14:13:05,2537,2525,0,0,16522,573,-100,988,80,0,528,1,1
03-10-23 14:13:10,2537,2525,0,0,16522,573,-100,988,75,0,528,1,1
03-10-23 14:13:10,2537,2525,0,0,16522,573,-100,983,75,0,527,1,1
03-10-23 14:13:15,2537,2525,0,0,16522,573,-100,983,70,0,527,1,1
03-10-23 14:13:15,2537,2525,0,0,16522,573,-100,978,70,0,527,1,1
03-10-23 14:13:20,2537,2525,0,0,16522,573,-100,978,65,0,527,1,1
03-10-23 14:13:20,2537,2525,0,0,16522,573,-100,973,65,0,527,1,1
03-10-23 14:13:25,2537,2525,0,0,16522,573,-100,973,60,0,527,1,1
03-10-23 14:13:25,2537,2525,0,0,16522,573,-100,968,60,0,527,1,1
03-10-23 14:13:30,2537,2525,0,0,16522,573,-100,968,55,0,527,1,1
03-10-23 14:13:30,2537,2525,0,0,16522,573,-100,963,55,0,527,1,1
03-10-23 14:13:35,2537,2525,0,0,16522,573,-100,963,50,0,527,1,1
03-10-23 14:13:35,2537,2525,0,0,16522,573,-100,958,50,0,527,1,1
03-10-23 14:13:40,2537,2525,0,0,16522,573,-100,958,45,0,527,1,1
03-10-23 14:13:40,2537,2525,0,0,16522,573,-100,953,45,0,527,1,1
03-10-23 14:13:45,2537,2525,0,0,16522,573,-100,953,40,0,527,1,1
03-10-23 14:13:45,2537,2525,0,0,16522,573,-100,948,40,0,527,1,1
03-10-23 14:13:50,2537,2525,0,0,16522,573,-100,948,35,0,527,1,1
03-10-23 14:13:50,2537,2525,0,0,16522,573,-100,943,35,0,527,1,1
03-10-23 14:13:55,2537,2525,0,0,16522,573,-100,943,30,0,527,1,1
03-10-23 14:13:55,2537,2525,0,0,16522,573,-100,938,30,0,527,1,1
03-10-23 14:14:00,2537,2525,0,0,16522,573,-100,938,25,0,527,1,1
03-10-23 14:14:00,2537,2525,0,0,16522,573,-100,933,25,0,527,1,1
03-10-23 14:14:05,2537,2525,0,0,16522,573,-100,933,20,0,527,1,1
